Metric,Baseline,XGBoost,LSTM
Total Trades,144.0,33.0,47.0
Win Rate (%),27.77777777777778,24.242424242424242,17.02127659574468
Total Return (%),-0.9037682116143296,-0.34325521168894557,-1.8389709037426327
Sharpe Ratio,-9.177139468364913,-17.954165260705995,-95.78320047260064
Sortino Ratio,-30.878368657761552,-64.98129190494757,-201.81502672804044
Max Drawdown (%),1.7232752501093012,0.6225606411528135,1.7915798034274917
Profit Factor,0.8373832715782065,0.7228353466204789,0.22110134601425466
